"Mixing_Time","Active_1","Active_2","RM_3","RM_4","Active_3","RM_6","RM_7","RM_8","Active_4","Water","Crashout","Viscosity"
0.5,0,3.75,1.28,1.61,2.65,11.11,3.61,1.36,28,46.62,0,2488
0.5,0,3.9,1.28,1.61,2.55,11.11,3.61,1.36,29.5,45.07,0,1914
0.5,0,3.91,1.28,1.61,2.51,11.11,3.61,1.36,29.24,45.36,0,1875
1,0,2,1.28,1.61,1.5,11.11,3.61,1.36,40,37.52,0,1215
1,0,4,1.28,1.61,3,11.11,3.61,1.36,25,49.02,0,7745
1,0,3.75,1.28,1.61,2.65,11.11,3.61,1.36,28,46.62,0,4682
1,0,3.9,1.28,1.61,2.55,11.11,3.61,1.36,29.5,45.07,0,4244
1,0,3.91,1.28,1.61,2.51,11.11,3.61,1.36,29.24,45.36,0,6681
1.5,0,3.75,1.28,1.61,2.65,11.11,3.61,1.36,28,46.62,0,8039
1.5,0,3.9,1.28,1.61,2.55,11.11,3.61,1.36,29.5,45.07,0,7275
1.5,0,3.91,1.28,1.61,2.51,11.11,3.61,1.36,29.24,45.36,0,7199
2,0,4,1.28,1.61,3,11.11,3.61,1.36,25,49.02,0,9844
2,0,3.75,1.28,1.61,2.65,11.11,3.61,1.36,28,46.62,0,8717
2,0,3.9,1.28,1.61,2.55,11.11,3.61,1.36,29.5,45.07,0,7591
2,0,3.91,1.28,1.61,2.51,11.11,3.61,1.36,29.24,45.36,0,7371
2.5,0,4,1.28,1.61,3,11.11,3.61,1.36,25,49.02,0,9635
2.5,0,3.75,1.28,1.61,2.65,11.11,3.61,1.36,28,46.62,0,8539
2.5,0,3.9,1.28,1.61,2.55,11.11,3.61,1.36,29.5,45.07,0,7228
2.5,0,3.91,1.28,1.61,2.51,11.11,3.61,1.36,29.24,45.36,0,6860
0.5,1,3.64,1.17,1.5,2.54,11,3.5,1.25,27.89,46.51,0.2276,2492
0.5,1,3.79,1.17,1.5,2.44,11,3.5,1.25,29.39,44.96,0.0287,2056
0.5,1,3.8,1.17,1.5,2.4,11,3.5,1.25,29.13,45.25,0.1036,1905
1,1,1.89,1.17,1.5,1.39,11,3.5,1.25,39.89,37.41,0.2266,1036
1,1,3.89,1.17,1.5,2.89,11,3.5,1.25,24.89,48.91,0.0373,7767
1,1,3.64,1.17,1.5,2.54,11,3.5,1.25,27.89,46.51,0.0229,4797
1,1,3.79,1.17,1.5,2.44,11,3.5,1.25,29.39,44.96,0.0053,4342
1,1,3.8,1.17,1.5,2.4,11,3.5,1.25,29.13,45.25,0.0026,6586
1.5,1,3.64,1.17,1.5,2.54,11,3.5,1.25,27.89,46.51,0.0041,7949
1.5,1,3.79,1.17,1.5,2.44,11,3.5,1.25,29.39,44.96,1e-04,7349
1.5,1,3.8,1.17,1.5,2.4,11,3.5,1.25,29.13,45.25,0.0027,7293
2,1,3.89,1.17,1.5,2.89,11,3.5,1.25,24.89,48.91,0.0025,9884
2,1,3.64,1.17,1.5,2.54,11,3.5,1.25,27.89,46.51,0.0141,8860
2,1,3.79,1.17,1.5,2.44,11,3.5,1.25,29.39,44.96,0.0026,7569
2,1,3.8,1.17,1.5,2.4,11,3.5,1.25,29.13,45.25,0.001,7409
2.5,1,3.89,1.17,1.5,2.89,11,3.5,1.25,24.89,48.91,1e-04,9587
2.5,1,3.64,1.17,1.5,2.54,11,3.5,1.25,27.89,46.51,0.0079,8561
2.5,1,3.79,1.17,1.5,2.44,11,3.5,1.25,29.39,44.96,0,7270
2.5,1,3.8,1.17,1.5,2.4,11,3.5,1.25,29.13,45.25,9e-04,6952
0.5,5,3.19,0.73,1.06,2.09,10.56,3.06,0.81,27.44,46.06,0.284,2464
0.5,5,3.34,0.73,1.06,1.99,10.56,3.06,0.81,28.94,44.51,0.0502,2015
0.5,5,3.36,0.73,1.06,1.96,10.56,3.06,0.81,28.69,44.81,0.1084,1864
1,5,1.44,0.73,1.06,0.94,10.56,3.06,0.81,39.44,36.96,0.8767,1144
1,5,3.44,0.73,1.06,2.44,10.56,3.06,0.81,24.44,48.46,0.1395,7703
1,5,3.19,0.73,1.06,2.09,10.56,3.06,0.81,27.44,46.06,0.0684,4749
1,5,3.34,0.73,1.06,1.99,10.56,3.06,0.81,28.94,44.51,0.0059,4219
1,5,3.36,0.73,1.06,1.96,10.56,3.06,0.81,28.69,44.81,0.0055,6638
1.5,5,3.19,0.73,1.06,2.09,10.56,3.06,0.81,27.44,46.06,0.0176,8072
1.5,5,3.34,0.73,1.06,1.99,10.56,3.06,0.81,28.94,44.51,1e-04,7389
1.5,5,3.36,0.73,1.06,1.96,10.56,3.06,0.81,28.69,44.81,0.0074,7329
2,5,3.44,0.73,1.06,2.44,10.56,3.06,0.81,24.44,48.46,0.0057,9835
2,5,3.19,0.73,1.06,2.09,10.56,3.06,0.81,27.44,46.06,0.0207,8774
2,5,3.34,0.73,1.06,1.99,10.56,3.06,0.81,28.94,44.51,0.0069,7657
2,5,3.36,0.73,1.06,1.96,10.56,3.06,0.81,28.69,44.81,0.0011,7443
2.5,5,3.44,0.73,1.06,2.44,10.56,3.06,0.81,24.44,48.46,0.0042,9656
2.5,5,3.19,0.73,1.06,2.09,10.56,3.06,0.81,27.44,46.06,0.0125,8596
2.5,5,3.34,0.73,1.06,1.99,10.56,3.06,0.81,28.94,44.51,0.0097,7265
2.5,5,3.36,0.73,1.06,1.96,10.56,3.06,0.81,28.69,44.81,0.0075,6865
0.5,10,2.64,0.17,0.5,1.54,10,2.5,0.25,26.89,45.51,0.321,2496
0.5,10,2.79,0.17,0.5,1.44,10,2.5,0.25,28.39,43.96,0.2152,1985
0.5,10,2.8,0.17,0.5,1.4,10,2.5,0.25,28.13,44.25,0.203,1756
1,10,0.89,0.17,0.5,0.39,10,2.5,0.25,38.89,36.41,1.16,888
1,10,2.89,0.17,0.5,1.89,10,2.5,0.25,23.89,47.91,0.167,7661
1,10,2.64,0.17,0.5,1.54,10,2.5,0.25,26.89,45.51,0.091,4700
1,10,2.79,0.17,0.5,1.44,10,2.5,0.25,28.39,43.96,0.0178,4221
1,10,2.8,0.17,0.5,1.4,10,2.5,0.25,28.13,44.25,0.0169,6527
1.5,10,2.64,0.17,0.5,1.54,10,2.5,0.25,26.89,45.51,0.031,7942
1.5,10,2.79,0.17,0.5,1.44,10,2.5,0.25,28.39,43.96,0.0165,7252
1.5,10,2.8,0.17,0.5,1.4,10,2.5,0.25,28.13,44.25,0.012,7227
2,10,2.89,0.17,0.5,1.89,10,2.5,0.25,23.89,47.91,0.0084,9870
2,10,2.64,0.17,0.5,1.54,10,2.5,0.25,26.89,45.51,0.025,8717
2,10,2.79,0.17,0.5,1.44,10,2.5,0.25,28.39,43.96,0.0145,7618
2,10,2.8,0.17,0.5,1.4,10,2.5,0.25,28.13,44.25,0.008,7371
2.5,10,2.89,0.17,0.5,1.89,10,2.5,0.25,23.89,47.91,0.0061,9570
2.5,10,2.64,0.17,0.5,1.54,10,2.5,0.25,26.89,45.51,0.234,8524
2.5,10,2.79,0.17,0.5,1.44,10,2.5,0.25,28.39,43.96,0.012,7209
2.5,10,2.8,0.17,0.5,1.4,10,2.5,0.25,28.13,44.25,0.0078,6834
