Formulation_Number,Main_Formulation_Number,Sub_Formulation_Number,Mixing_Time,Active_1,Active_2,RM_3,RM_4,Active_3,RM_6,RM_7,RM_8,Active_4,Water,Crashout,Viscosity
1,1,1,0.5,0,2,1.28,1.61,1.5,11.11,3.61,1.36,40,37.52,0,516
2,1,2,0.5,0,4,1.28,1.61,3,11.11,3.61,1.36,25,49.02,0,3543
3,1,3,0.5,0,3.75,1.28,1.61,2.65,11.11,3.61,1.36,28,46.62,0,2488
4,1,4,0.5,0,3.9,1.28,1.61,2.55,11.11,3.61,1.36,29.5,45.07,0,1914
5,1,5,0.5,0,3.91,1.28,1.61,2.51,11.11,3.61,1.36,29.24,45.36,0,1875
6,1,1,1,0,2,1.28,1.61,1.5,11.11,3.61,1.36,40,37.52,0,1215
7,1,2,1,0,4,1.28,1.61,3,11.11,3.61,1.36,25,49.02,0,7745
8,1,3,1,0,3.75,1.28,1.61,2.65,11.11,3.61,1.36,28,46.62,0,4682
9,1,4,1,0,3.9,1.28,1.61,2.55,11.11,3.61,1.36,29.5,45.07,0,4244
10,1,5,1,0,3.91,1.28,1.61,2.51,11.11,3.61,1.36,29.24,45.36,0,6681
11,1,1,1.5,0,2,1.28,1.61,1.5,11.11,3.61,1.36,40,37.52,0,1681
12,1,2,1.5,0,4,1.28,1.61,3,11.11,3.61,1.36,25,49.02,0,9356
13,1,3,1.5,0,3.75,1.28,1.61,2.65,11.11,3.61,1.36,28,46.62,0,8039
14,1,4,1.5,0,3.9,1.28,1.61,2.55,11.11,3.61,1.36,29.5,45.07,0,7275
15,1,5,1.5,0,3.91,1.28,1.61,2.51,11.11,3.61,1.36,29.24,45.36,0,7199
16,1,1,2,0,2,1.28,1.61,1.5,11.11,3.61,1.36,40,37.52,0,1643
17,1,2,2,0,4,1.28,1.61,3,11.11,3.61,1.36,25,49.02,0,9844
18,1,3,2,0,3.75,1.28,1.61,2.65,11.11,3.61,1.36,28,46.62,0,8717
19,1,4,2,0,3.9,1.28,1.61,2.55,11.11,3.61,1.36,29.5,45.07,0,7591
20,1,5,2,0,3.91,1.28,1.61,2.51,11.11,3.61,1.36,29.24,45.36,0,7371
21,1,1,2.5,0,2,1.28,1.61,1.5,11.11,3.61,1.36,40,37.52,0,1281
22,1,2,2.5,0,4,1.28,1.61,3,11.11,3.61,1.36,25,49.02,0,9635
23,1,3,2.5,0,3.75,1.28,1.61,2.65,11.11,3.61,1.36,28,46.62,0,8539
24,1,4,2.5,0,3.9,1.28,1.61,2.55,11.11,3.61,1.36,29.5,45.07,0,7228
25,1,5,2.5,0,3.91,1.28,1.61,2.51,11.11,3.61,1.36,29.24,45.36,0,6860
26,2,1,0.5,1,1.89,1.17,1.5,1.39,11,3.5,1.25,39.89,37.41,0.8855,560
27,2,2,0.5,1,3.89,1.17,1.5,2.89,11,3.5,1.25,24.89,48.91,0.0314,3642
28,2,3,0.5,1,3.64,1.17,1.5,2.54,11,3.5,1.25,27.89,46.51,0.2276,2492
29,2,4,0.5,1,3.79,1.17,1.5,2.44,11,3.5,1.25,29.39,44.96,0.0287,2056
30,2,5,0.5,1,3.8,1.17,1.5,2.4,11,3.5,1.25,29.13,45.25,0.1036,1905
31,2,1,1,1,1.89,1.17,1.5,1.39,11,3.5,1.25,39.89,37.41,0.2266,1036
32,2,2,1,1,3.89,1.17,1.5,2.89,11,3.5,1.25,24.89,48.91,0.0373,7767
33,2,3,1,1,3.64,1.17,1.5,2.54,11,3.5,1.25,27.89,46.51,0.0229,4797
34,2,4,1,1,3.79,1.17,1.5,2.44,11,3.5,1.25,29.39,44.96,0.0053,4342
